============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.7c87] cloned to [<.a6c8] at [12, 4] -- <29>
[<.2f7c] added [<.a6c8] at [12, 4] -- <29>
[<.7c87] cloned to [<.e2f9] at [11, 3] -- <29>
[<.bcf6] added [<.e2f9] at [11, 3] -- <29>
[<.7c87] cloned to [<.80e8] at [12, 5] -- <29>
[<. 339] added [<.80e8] at [12, 5] -- <29>
[<.7c87] cloned to [<.ae4b] at [12, 6] -- <29>
[<.a5d7] added [<.ae4b] at [12, 6] -- <29>
[<.7c87] cloned to [<.ad23] at [10, 2] -- <29>
[<.8e15] added [<.ad23] at [10, 2] -- <29>
[<.7c87] cloned to [<. cbf] at [9, 6] -- <29>
[<.ddc0] added [<. cbf] at [9, 6] -- <29>
[<.7c87] cloned to [<.38f9] at [8, 4] -- <29>
[<.fee1] added [<.38f9] at [8, 4] -- <29>
[<.9782] moved to [12, 4] -- <29>
[<.61b8] moved to [6, 5] -- <29>
[<.d2c0] moved to [11, 1] -- <29>
[<.2de6] moved to [8, 1] -- <29>
[<.5b31] moved to [10, 5] -- <29>
[<.6983] moved to [10, 2] -- <29>
[<.c84d] moved to [9, 3] -- <29>
[<.dcb4] moved to [7, 5] -- <29>
[<.93e4] moved to [11, 1] -- <29>
[<. d36] moved to [8, 5] -- <29>
[<.7ceb] moved to [11, 2] -- <29>
[<.c366] moved to [8, 5] -- <29>
[<.e08c] moved to [5, 2] -- <29>
[<.60df] moved to [6, 6] -- <29>
[<.7562] moved to [9, 2] -- <29>
[<. 454] moved to [11, 3] -- <29>
[<.a9e3] moved to [13, 5] -- <29>
[<.f5f7] moved to [10, 4] -- <29>
[<.8777] moved to [5, 5] -- <29>
[<.8501] moved to [8, 4] -- <29>
[<.671c] moved to [8, 6] -- <29>
[<.6c9c] moved to [11, 5] -- <29>
[<. 8da] moved to [13, 2] -- <29>
[<.f48d] moved to [9, 5] -- <29>
[<.9532] moved to [13, 6] -- <29>
[<.4dbf] moved to [12, 5] -- <29>
[<.51ea] moved to [10, 5] -- <29>
[<.a486] moved to [9, 2] -- <29>
[<.c814] moved to [10, 6] -- <29>
[<.debe] moved to [12, 1] -- <29>
[<.3668] moved to [13, 3] -- <29>
[<.97b1] moved to [10, 5] -- <29>
[<.1acc] moved to [5, 5] -- <29>
[<.ffc7] moved to [11, 5] -- <29>
[<.b32f] moved to [13, 3] -- <29>
[<.9c1e] moved to [11, 3] -- <29>
[<.b697] moved to [9, 3] -- <29>
[<.5e47] moved to [9, 5] -- <29>
[<.5446] moved to [13, 5] -- <29>
[<.8763] moved to [13, 2] -- <29>
[<.f3a7] moved to [8, 2] -- <29>
[<.f58f] moved to [5, 5] -- <29>
[<.64f0] moved to [8, 4] -- <29>
[<.22f8] moved to [12, 3] -- <29>
[<.8b04] moved to [12, 5] -- <29>
[<. 626] moved to [8, 5] -- <29>
[<. 338] moved to [8, 3] -- <29>
[<.e4cd] moved to [9, 4] -- <29>
[<. d02] moved to [5, 6] -- <29>
[<.bba1] moved to [10, 5] -- <29>
[<.23c4] moved to [11, 2] -- <29>
[<.7c87] cloned to [<.63e0] at [11, 3] -- <30>
[<.9cb6] added [<.63e0] at [11, 3] -- <30>
[<.7c87] cloned to [<.751b] at [10, 4] -- <30>
[<.f9d5] added [<.751b] at [10, 4] -- <30>
[<.7c87] cloned to [<.7ed0] at [8, 4] -- <30>
[<.ba70] added [<.7ed0] at [8, 4] -- <30>
[<.7c87] cloned to [<.de59] at [8, 4] -- <30>
[<.b097] added [<.de59] at [8, 4] -- <30>
[<.7c87] cloned to [<. 18d] at [11, 3] -- <30>
[<.1ea3] added [<. 18d] at [11, 3] -- <30>
[<.7c87] cloned to [<.adba] at [11, 2] -- <30>
[<. 39b] added [<.adba] at [11, 2] -- <30>
[<.7c87] cloned to [<.b5c1] at [9, 3] -- <30>
[<.ff4e] added [<.b5c1] at [9, 3] -- <30>
[<.7c87] cloned to [<.803b] at [5, 5] -- <30>
